date,deviceCategory,uniq_users,addedToCart,conv
2020-08-01 00:00:00+00:00,desktop,1282,114.0,8.89
2020-08-01 00:00:00+00:00,mobile,224,14.0,6.25
2020-08-01 00:00:00+00:00,tablet,45,4.0,8.89
2020-08-02 00:00:00+00:00,desktop,1561,144.0,9.22
2020-08-02 00:00:00+00:00,mobile,318,6.0,1.89
2020-08-02 00:00:00+00:00,tablet,46,4.0,8.7
2020-08-03 00:00:00+00:00,desktop,2151,192.0,8.93
2020-08-03 00:00:00+00:00,mobile,374,26.0,6.95
2020-08-03 00:00:00+00:00,tablet,60,4.0,6.67
2020-08-04 00:00:00+00:00,desktop,2308,177.0,7.67
2020-08-04 00:00:00+00:00,mobile,399,16.0,4.01
2020-08-04 00:00:00+00:00,tablet,47,1.0,2.13
2020-08-05 00:00:00+00:00,desktop,2022,177.0,8.75
2020-08-05 00:00:00+00:00,mobile,347,26.0,7.49
2020-08-05 00:00:00+00:00,tablet,46,4.0,8.7
2020-08-06 00:00:00+00:00,desktop,1128,65.0,5.76
2020-08-06 00:00:00+00:00,mobile,338,15.0,4.44
2020-08-06 00:00:00+00:00,tablet,73,2.0,2.74
2020-08-07 00:00:00+00:00,desktop,1123,71.0,6.32
2020-08-07 00:00:00+00:00,mobile,303,20.0,6.6
2020-08-07 00:00:00+00:00,tablet,60,2.0,3.33
2020-08-08 00:00:00+00:00,desktop,2142,160.0,7.47
2020-08-08 00:00:00+00:00,mobile,322,21.0,6.52
2020-08-08 00:00:00+00:00,tablet,43,4.0,9.3
2020-08-09 00:00:00+00:00,desktop,2163,190.0,8.78
2020-08-09 00:00:00+00:00,mobile,360,22.0,6.11
2020-08-09 00:00:00+00:00,tablet,51,2.0,3.92
2020-08-10 00:00:00+00:00,desktop,2051,179.0,8.73
2020-08-10 00:00:00+00:00,mobile,382,35.0,9.16
2020-08-10 00:00:00+00:00,tablet,49,2.0,4.08
2020-08-11 00:00:00+00:00,desktop,1925,176.0,9.14
2020-08-11 00:00:00+00:00,mobile,416,30.0,7.21
