week_date,deviceCategory,uniq_users,addedToCart,conv
2016-08-01 00:00:00+00:00,desktop,10983,940.0,8.56
2016-08-01 00:00:00+00:00,mobile,2146,123.0,5.73
2016-08-01 00:00:00+00:00,tablet,354,21.0,5.93
2016-08-08 00:00:00+00:00,desktop,11807,1101.0,9.32
2016-08-08 00:00:00+00:00,mobile,2371,152.0,6.41
2016-08-08 00:00:00+00:00,tablet,346,21.0,6.07
2016-08-15 00:00:00+00:00,desktop,12174,1102.0,9.05
2016-08-15 00:00:00+00:00,mobile,2199,131.0,5.96
2016-08-15 00:00:00+00:00,tablet,356,28.0,7.87
2016-08-22 00:00:00+00:00,desktop,11256,971.0,8.63
2016-08-22 00:00:00+00:00,mobile,2219,123.0,5.54
2016-08-22 00:00:00+00:00,tablet,391,37.0,9.46
2016-08-29 00:00:00+00:00,desktop,12221,942.0,7.71
2016-08-29 00:00:00+00:00,mobile,2206,131.0,5.94
2016-08-29 00:00:00+00:00,tablet,384,13.0,3.39
2016-09-05 00:00:00+00:00,desktop,11238,783.0,6.97
2016-09-05 00:00:00+00:00,mobile,2138,120.0,5.61
2016-09-05 00:00:00+00:00,tablet,396,30.0,7.58
2016-09-12 00:00:00+00:00,desktop,11488,883.0,7.69
2016-09-12 00:00:00+00:00,mobile,2369,143.0,6.04
2016-09-12 00:00:00+00:00,tablet,389,24.0,6.17
2016-09-19 00:00:00+00:00,desktop,11613,860.0,7.41
2016-09-19 00:00:00+00:00,mobile,2320,134.0,5.78
2016-09-19 00:00:00+00:00,tablet,364,29.0,7.97
2016-09-26 00:00:00+00:00,desktop,11175,837.0,7.49
2016-09-26 00:00:00+00:00,mobile,2356,115.0,4.88
2016-09-26 00:00:00+00:00,tablet,384,19.0,4.95
2016-10-03 00:00:00+00:00,desktop,14496,878.0,6.06
2016-10-03 00:00:00+00:00,mobile,3072,134.0,4.36
2016-10-03 00:00:00+00:00,tablet,533,14.0,2.63
2016-10-10 00:00:00+00:00,desktop,13791,718.0,5.21
2016-10-10 00:00:00+00:00,mobile,2832,123.0,4.34
2016-10-10 00:00:00+00:00,tablet,418,13.0,3.11
2016-10-17 00:00:00+00:00,desktop,18074,765.0,4.23
2016-10-17 00:00:00+00:00,mobile,2865,132.0,4.61
2016-10-17 00:00:00+00:00,tablet,499,23.0,4.61
2016-10-24 00:00:00+00:00,desktop,20659,695.0,3.36
2016-10-24 00:00:00+00:00,mobile,2849,105.0,3.69
2016-10-24 00:00:00+00:00,tablet,460,20.0,4.35
2016-10-31 00:00:00+00:00,desktop,19818,594.0,3.0
2016-10-31 00:00:00+00:00,mobile,2825,110.0,3.89
2016-10-31 00:00:00+00:00,tablet,470,21.0,4.47
2016-11-07 00:00:00+00:00,desktop,19669,616.0,3.13
2016-11-07 00:00:00+00:00,mobile,2848,192.0,6.74
2016-11-07 00:00:00+00:00,tablet,414,26.0,6.28
2016-11-14 00:00:00+00:00,desktop,20921,720.0,3.44
2016-11-14 00:00:00+00:00,mobile,3083,139.0,4.51
2016-11-14 00:00:00+00:00,tablet,533,27.0,5.07
2016-11-21 00:00:00+00:00,desktop,19577,711.0,3.63
2016-11-21 00:00:00+00:00,mobile,3367,153.0,4.54
2016-11-21 00:00:00+00:00,tablet,609,23.0,3.78
2016-11-28 00:00:00+00:00,desktop,20453,1010.0,4.94
2016-11-28 00:00:00+00:00,mobile,3400,184.0,5.41
2016-11-28 00:00:00+00:00,tablet,586,39.0,6.66
2016-12-05 00:00:00+00:00,desktop,12617,1082.0,8.58
2016-12-05 00:00:00+00:00,mobile,3651,180.0,4.93
2016-12-05 00:00:00+00:00,tablet,640,36.0,5.62
2016-12-12 00:00:00+00:00,desktop,11326,1154.0,10.19
2016-12-12 00:00:00+00:00,mobile,4536,250.0,5.51
2016-12-12 00:00:00+00:00,tablet,655,41.0,6.26
2016-12-19 00:00:00+00:00,desktop,8478,717.0,8.46
2016-12-19 00:00:00+00:00,mobile,3683,180.0,4.89
2016-12-19 00:00:00+00:00,tablet,519,24.0,4.62
2016-12-26 00:00:00+00:00,desktop,5696,404.0,7.09
2016-12-26 00:00:00+00:00,mobile,2831,111.0,3.92
2016-12-26 00:00:00+00:00,tablet,469,23.0,4.9
2017-01-02 00:00:00+00:00,desktop,7928,557.0,7.03
2017-01-02 00:00:00+00:00,mobile,3412,133.0,3.9
2017-01-02 00:00:00+00:00,tablet,521,21.0,4.03
2017-01-09 00:00:00+00:00,desktop,8236,552.0,6.7
2017-01-09 00:00:00+00:00,mobile,3213,150.0,4.67
2017-01-09 00:00:00+00:00,tablet,463,24.0,5.18
2017-01-16 00:00:00+00:00,desktop,8176,585.0,7.16
2017-01-16 00:00:00+00:00,mobile,3196,140.0,4.38
2017-01-16 00:00:00+00:00,tablet,496,19.0,3.83
2017-01-23 00:00:00+00:00,desktop,9110,646.0,7.09
2017-01-23 00:00:00+00:00,mobile,4393,159.0,3.62
2017-01-23 00:00:00+00:00,tablet,679,26.0,3.83
2017-01-30 00:00:00+00:00,desktop,8640,685.0,7.93
2017-01-30 00:00:00+00:00,mobile,3134,117.0,3.73
2017-01-30 00:00:00+00:00,tablet,478,7.0,1.46
2017-02-06 00:00:00+00:00,desktop,9262,631.0,6.81
2017-02-06 00:00:00+00:00,mobile,3364,137.0,4.07
2017-02-06 00:00:00+00:00,tablet,597,18.0,3.02
2017-02-13 00:00:00+00:00,desktop,9445,817.0,8.65
2017-02-13 00:00:00+00:00,mobile,3583,195.0,5.44
2017-02-13 00:00:00+00:00,tablet,485,14.0,2.89
2017-02-20 00:00:00+00:00,desktop,8782,705.0,8.03
2017-02-20 00:00:00+00:00,mobile,3448,143.0,4.15
2017-02-20 00:00:00+00:00,tablet,531,14.0,2.64
2017-02-27 00:00:00+00:00,desktop,8923,648.0,7.26
2017-02-27 00:00:00+00:00,mobile,3391,158.0,4.66
2017-02-27 00:00:00+00:00,tablet,510,14.0,2.75
2017-03-06 00:00:00+00:00,desktop,9039,654.0,7.24
2017-03-06 00:00:00+00:00,mobile,3527,150.0,4.25
2017-03-06 00:00:00+00:00,tablet,474,19.0,4.01
2017-03-13 00:00:00+00:00,desktop,9096,666.0,7.32
2017-03-13 00:00:00+00:00,mobile,3469,123.0,3.55
2017-03-13 00:00:00+00:00,tablet,475,18.0,3.79
2017-03-20 00:00:00+00:00,desktop,9551,673.0,7.05
2017-03-20 00:00:00+00:00,mobile,3514,143.0,4.07
2017-03-20 00:00:00+00:00,tablet,500,23.0,4.6
2017-03-27 00:00:00+00:00,desktop,10037,736.0,7.33
2017-03-27 00:00:00+00:00,mobile,3611,141.0,3.9
2017-03-27 00:00:00+00:00,tablet,557,27.0,4.85
2017-04-03 00:00:00+00:00,desktop,9275,823.0,8.87
2017-04-03 00:00:00+00:00,mobile,3865,174.0,4.5
2017-04-03 00:00:00+00:00,tablet,522,33.0,6.32
2017-04-10 00:00:00+00:00,desktop,8228,704.0,8.56
2017-04-10 00:00:00+00:00,mobile,3479,170.0,4.89
2017-04-10 00:00:00+00:00,tablet,463,33.0,7.13
2017-04-17 00:00:00+00:00,desktop,8400,716.0,8.52
2017-04-17 00:00:00+00:00,mobile,3476,180.0,5.18
2017-04-17 00:00:00+00:00,tablet,460,18.0,3.91
2017-04-24 00:00:00+00:00,desktop,9393,752.0,8.01
2017-04-24 00:00:00+00:00,mobile,4426,189.0,4.27
2017-04-24 00:00:00+00:00,tablet,525,20.0,3.81
2017-05-01 00:00:00+00:00,desktop,8217,885.0,10.77
2017-05-01 00:00:00+00:00,mobile,3483,177.0,5.08
2017-05-01 00:00:00+00:00,tablet,457,27.0,5.91
2017-05-08 00:00:00+00:00,desktop,7193,776.0,10.79
2017-05-08 00:00:00+00:00,mobile,2848,148.0,5.2
2017-05-08 00:00:00+00:00,tablet,384,30.0,7.81
